category_id,product_id,product_name,user_id,comment,rating,comment_time,user_purchased_id,user_purchased_name,isPurchased,purchased_time,thanked,thank_count
316,565643,"Big Book Of Big Animals – Cuốn Sách Khổng Lồ Về Các Loài Động Vật Khổng Lồ",1893836,"Sách khổ lớn, bìa cứng cáp, giấy chất lượng tốt  Hình vẽ đẹp và chân thực  Nhiều kiến thức bổ ích  Quà tặng tuyệt vời cho các bé",5,1506571041,1893836,"Thảo Nguyễn",1,1505978074,false,0 
316,1731801,"Di Sản Văn Hóa Việt Nam Dưới Góc Nhìn Lịch Sử",504882,"Giáo sư Phan Huy Lê là cây đại thụ của lĩnh vực lịch sử khảo cổ Việt Nam. Lịch sử là cái xem lại, xét đoán người xưa, có thể đúng, có thể sai. Gs Phan Huy Lê với những lập luận khoa học đã phác họa nên một nền văn hóa Việt Nam rõ nét qua những chứng cứ lịch sử",5,1540920970,504882,"Sơn Chi Lâm",1,1539516735,false,1 
316,3608617,"Góc Nhìn Alan - Dành Tặng Doanh Nhân Việt Trong Thế Trận Toàn Cầu",6007164,"Nội dung cuốn sách có những điểm mới, nhưng cũng mang thiên hướng tuyên truyền nhiều về lối sống phương tây (nhiều khi có những suy nghĩ cực đoan về chế độ) cái nhìn hay nhưng lại hơi 1 chiều, xét về kinh tế mà đôi khi lại quên đi những yếu tố văn hoá, chính trị. Kết: Đọc hãy tự ngẫm theo suy nghĩ của mình",3,1555035181,6007164,"Chi Viet Nguyen",1,1554770821,false,0 
316,3608617,"Góc Nhìn Alan - Dành Tặng Doanh Nhân Việt Trong Thế Trận Toàn Cầu",556146,"Tiki giao hàng lần này chậm, có thể do đợt sale lớn 11.11 nên thông cảm (đặt 11/11 giao 19/11). Tuy nhiên, quyển sách mình trông chờ lại bị mốc ở phần giấy láng. Hi vọng Tiki để ý bảo quản trước khi giao khách. Hơi thất vọng! Vì nghĩ đến sách mình luôn ưu tiên Tiki để đặt hàng :((",2,1542724987,556146,"Đỗ Giao",1,1542445077,false,2 
316,536463,"Bộ Tự Học Guitar (Sách + 01 CD)",405796,"từ cơ bản đến nâng cao... từ lý thuyết đến thực hành.. phù hợp người mới chơi",5,1551269451,405796,"Tuyết Sói",1,1550914146,false,0 
316,536463,"Bộ Tự Học Guitar (Sách + 01 CD)",4805,"thời gian giao hàng ok (2 ngày thường + 2 ngày cuối tuần), tuy nhiên khá thất vọng vì chất lượng sách rất tệ, giấy cũ và bẩn.",1,1542639288,4805,"Pham Hiep",1,1542234176,false,0 
316,1007996,"Đường Tống Truyền Kỳ",644387,"Sách gồm nhiều câu truyện truyền kỳ được lưu truyền từ lâu do nhiều nhà văn biên chép và được Lỗ Tấn biên tập lại.  Các câu chuyện có thể bắt gặp đâu đó trong các sách xưa như là những điển tích. Nếu quen với cổ văn thì đọc rất thú",5,1532339432,644387,"Phạm Duy Hoàng",1,1532188310,false,3 
316,1681461,"Sự Va Chạm Giữa Các Nền Văn Minh Và Sự Tái Lập Trật Tự Thế Giới (Tái Bản 2018)",6998051,"Mọi người có thể giải thích cho em đoạn được highlight trong ảnh được không ạ? Em không hiểu lắm nhận xét này của Thomas Samuel Kuhn '^'",5,1546874142,,"",-1,-1,false,2 
316,922126,"Những Mảnh Ghép Cuộc Đời",323663,"Trên tiki ghi 63k nhưng giá mình phải trả là 78k. Trong phần lựa chọn có 2 bản thường và có tặng kèm sổ tay cho những đơn hàng đầu tiên nếu không có thì nên báo lại hay như thế nào đó chứ?",3,1521531245,323663,"Hà Chã",1,1520766034,false,2 
316,922126,"Những Mảnh Ghép Cuộc Đời",365784,"Nội dung thì không cần bàn rồi uhuhu Tabloisdad ?, giao hàng đúng hạn, sản phẩm không có tí lỗi vận chuyển nào, ưng.",5,1520592582,365784,"Hoàng Hà",1,1520057326,false,1 
316,922126,"Những Mảnh Ghép Cuộc Đời",989524,"Sách đẹp lắm ạ, bao bì tốt, sổ tay tặng kèm cũng cực kì đẹp luôn*",5,1509383035,989524,"Hoàng Thị Thúy An",1,1505655684,false,0 
316,922126,"Những Mảnh Ghép Cuộc Đời",5778510,"Mình mua sách hôm 16/09, Tiki đóng gói cẩn thận, giao hàng nhanh và tận tình nên mình rất hài lòng. Tablo-nim tuyệt vời, Tiki tuyệt vời 👍👍",5,1508009442,5778510,"Dương Minh Thúy",1,1505534308,false,0 
